"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","SCS","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","No function","30","30","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","No function","90","80","90410","79660"
"Leaver Dept.","2021","SCS","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","White","Unknown","80","70","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","No function","110","100","35280","34550"
"Leaver Dept.","2021","SEO/HEO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Asian","Unknown","150","140","36500","35070"
"Leaver Dept.","2021","SEO/HEO","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","No function","60","60","35280","34140"
"Leaver Dept.","2021","SEO/HEO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Black","Unknown","70","60","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","No function","60","60","34530","32910"
"Leaver Dept.","2021","SEO/HEO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Mixed","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","No function","70","70","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Undeclared","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","No function","740","730","33210","32000"
"Leaver Dept.","2021","SEO/HEO","Unknown","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Unknown","380","270","36150","35070"
"Leaver Dept.","2021","SEO/HEO","White","Analysis","100","90","35100","33930"
"Leaver Dept.","2021","SEO/HEO","White","Commercial","50","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Communications","50","50","36280","35140"
"Leaver Dept.","2021","SEO/HEO","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Digital, Data & Technology","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Finance","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Human Resources","140","140","35690","33640"
"Leaver Dept.","2021","SEO/HEO","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","No function","710","700","34470","33100"
"Leaver Dept.","2021","SEO/HEO","White","Project Delivery","190","180","33970","33300"
"Leaver Dept.","2021","SEO/HEO","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","White","Unknown","920","830","35820","35070"
"Leaver Dept.","2021","Unknown","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Unknown","70","70","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","No function","60","60","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","No function","290","260","21540","21260"
"Leaver Dept.","2022","AA/AO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Asian","Unknown","80","70","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","No function","120","110","22020","21260"
"Leaver Dept.","2022","AA/AO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","No function","50","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","No function","90","80","21440","21260"
"Leaver Dept.","2022","AA/AO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
