"Status","Year","Region_ITL2","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Northern Ireland","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Declared non-disabled","Unknown","50","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Unknown","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Operational Delivery","100","80","23710","21260"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared disabled","Unknown","70","60","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Digital, Data and Technology","50","40","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Operational Delivery","510","440","25460","21260"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Other","40","30","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Planning Inspectors","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Declared non-disabled","Unknown","420","340","25890","21260"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Undeclared","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Operational Delivery","80","80","31220","24880"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northumberland, and Tyne and Wear","Unknown","Unknown","340","280","25540","21260"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Operational Delivery","200","180","29660","31060"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Operational Delivery","90","90","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - East and North East","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Operational Delivery","60","50","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Digital, Data and Technology","30","30","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Operational Delivery","260","230","31630","29370"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Other","40","40","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Declared non-disabled","Unknown","70","60","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Operational Delivery","70","60","26610","25850"
"Leaver CS","2022","Outer London - South","Unknown","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - South","Unknown","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Operational Delivery","70","60","29320","31060"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Operational Delivery","400","340","29820","31060"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Other","30","30","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Science and Engineering","40","40","[c]","[c]"
"Leaver CS","2022","Outer London - West and North West","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
