"Status","Year","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Cabinet Office","Female","780","770","39070","32320"
"Leaver Dept.","2021","Cabinet Office (excl. agencies)","Cabinet Office","Male","610","610","40800","32910"
"Leaver Dept.","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Competition and Markets Authority","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Attorney General's Departments","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Defence Equipment and Support","Ministry of Defence","Female","160","150","33390","29650"
"Leaver Dept.","2021","Defence Equipment and Support","Ministry of Defence","Male","220","220","34420","32370"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","230","210","45850","40220"
"Leaver Dept.","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","230","210","47170","40220"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","120","120","47670","49600"
"Leaver Dept.","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","90","90","45880","49600"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Department for Education","Female","130","130","44600","40780"
"Leaver Dept.","2021","Department for Education (excl. agencies)","Department for Education","Male","90","80","40690","36980"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","250","240","41640","36970"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","170","170","41430","36710"
"Leaver Dept.","2021","Department for International Development","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Department for International Trade","Female","130","130","43030","38480"
"Leaver Dept.","2021","Department for International Trade","Department for International Trade","Male","140","140","43620","38540"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Department for Transport","Female","90","90","46210","42470"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Department for Transport","Male","110","110","44430","42460"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","800","750","29810","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","550","550","30500","27570"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","100","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Department for Transport","Female","60","50","26280","21590"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Department for Transport","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Department for Transport","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","ESTYN","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","ESTYN","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","120","40","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","110","30","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Attorney General's Departments","Female","60","50","45460","50570"
"Leaver Dept.","2021","Government Legal Department","Attorney General's Departments","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Ministry of Justice","Female","260","240","25540","21300"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Ministry of Justice","Male","120","120","27260","21620"
"Leaver Dept.","2021","HM Prison and Probation Service","Ministry of Justice","Female","230","220","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Ministry of Justice","Male","160","160","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","870","830","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","750","740","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","HM Treasury","Female","60","60","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","HM Treasury","Male","60","60","[c]","[c]"
"Leaver Dept.","2021","Home Office (incl. agencies)","Home Office","Female","640","600","36500","30820"
"Leaver Dept.","2021","Home Office (incl. agencies)","Home Office","Male","430","420","34640","28670"
"Leaver Dept.","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","220","210","37430","33300"
"Leaver Dept.","2021","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","180","170","42000","39510"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","190","190","42420","38820"
"Leaver Dept.","2021","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","160","160","39250","33210"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","240","240","41220","36800"
"Leaver Dept.","2021","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","170","170","43710","39580"
"Leaver Dept.","2021","National Crime Agency","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Crime Agency","National Crime Agency","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Records of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Records of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Savings and Investments","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","National Savings and Investments","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","30","30","[c]","[c]"
"Leaver Dept.","2021","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of Rail and Road","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Ministry of Justice","Female","40","40","[c]","[c]"
"Leaver Dept.","2021","Office of the Public Guardian","Ministry of Justice","Male","50","50","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Public Health England","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Registers of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Registers of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Revenue Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Royal Fleet Auxiliary","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","30","30","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Courts and Tribunals Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Forestry","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Forestry","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government (excl. agencies)","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Scottish Government (excl. agencies)","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Serious Fraud Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Security Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Security Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Standards and Testing Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Standards and Testing Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Submarine Delivery Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Teaching Regulation Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Teaching Regulation Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","The National Archives","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","The National Archives","The National Archives","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Export Finance","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Hydrographic Office","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","70","60","37430","32040"
"Leaver Dept.","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","90","90","36770","36030"
"Leaver Dept.","2021","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","HM Revenue and Customs","Female","40","30","[c]","[c]"
"Leaver Dept.","2021","Valuation Office Agency","HM Revenue and Customs","Male","40","40","[c]","[c]"
"Leaver Dept.","2021","Vehicle Certification Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Vehicle Certification Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Wales Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wales Office","Wales Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Water Services Regulation Authority","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Welsh Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Government (excl. agencies)","Welsh Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Welsh Revenue Authority","Welsh Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wilton Park","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Wilton Park","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","30","30","[c]","[c]"
"Leaver Dept.","2022","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","40","30","[c]","[c]"
"Leaver Dept.","2022","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Cabinet Office (excl. agencies)","Cabinet Office","Female","1010","1000","41850","34550"
"Leaver Dept.","2022","Cabinet Office (excl. agencies)","Cabinet Office","Male","810","810","42220","34550"
"Leaver Dept.","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Competition and Markets Authority","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Commercial Service","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Commercial Service","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Office and Procurator Fiscal Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Crown Prosecution Service","Attorney General's Departments","Female","70","70","33030","26970"
"Leaver Dept.","2022","Crown Prosecution Service","Attorney General's Departments","Male","40","40","[c]","[c]"
"Leaver Dept.","2022","Defence Equipment and Support","Ministry of Defence","Female","180","170","33040","30940"
"Leaver Dept.","2022","Defence Equipment and Support","Ministry of Defence","Male","260","260","35500","32410"
"Leaver Dept.","2022","Defence Science and Technology Laboratory","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Defence Science and Technology Laboratory","Ministry of Defence","Male","40","40","[c]","[c]"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","290","280","45020","40050"
"Leaver Dept.","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","290","280","46670","40220"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","110","110","41720","34280"
"Leaver Dept.","2022","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","100","100","47700","51730"
"Leaver Dept.","2022","Department for Education (excl. agencies)","Department for Education","Female","250","250","43040","38640"
"Leaver Dept.","2022","Department for Education (excl. agencies)","Department for Education","Male","170","170","43230","40230"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","200","200","[c]","[c]"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","180","180","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","Department for International Trade","Female","130","120","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","Department for International Trade","Male","100","100","[c]","[c]"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Female","170","170","40740","36340"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Male","140","140","42560","39600"
"Leaver Dept.","2022","Department for Transport (excl. agencies)","Department for Transport","Female","150","140","42500","38650"
"Leaver Dept.","2022","Department for Transport (excl. agencies)","Department for Transport","Male","160","160","44460","42470"
"Leaver Dept.","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","1820","1740","29360","27570"
"Leaver Dept.","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","1230","1220","30390","27570"
"Leaver Dept.","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","750","[c]","[c]","[c]"
"Leaver Dept.","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","560","[c]","[c]","[c]"
"Leaver Dept.","2022","Disclosure Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Driver and Vehicle Licensing Agency","Department for Transport","Female","80","80","28210","26130"
"Leaver Dept.","2022","Driver and Vehicle Licensing Agency","Department for Transport","Male","70","70","29870","27080"
"Leaver Dept.","2022","Driver and Vehicle Standards Agency","Department for Transport","Female","70","70","30070","27520"
"Leaver Dept.","2022","Driver and Vehicle Standards Agency","Department for Transport","Male","70","70","31550","27570"
"Leaver Dept.","2022","Education and Skills Funding Agency","Department for Education","Female","30","30","[c]","[c]"
"Leaver Dept.","2022","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Estyn","Estyn","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Estyn","Estyn","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","FCDO Services","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","FCDO Services","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Food Standards Agency","Food Standards Agency","Female","30","30","[c]","[c]"
"Leaver Dept.","2022","Food Standards Agency","Food Standards Agency","Male","30","30","[c]","[c]"
"Leaver Dept.","2022","Food Standards Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Food Standards Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","230","70","41250","38600"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","190","40","[c]","[c]"
