"Status","Year","Region_ITL2","Responsibility_level","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","Kingston upon Hull, City of","120","110","29660","28200"
"In post","2021","East Yorkshire and Northern Lincolnshire","Unknown","North and North East Lincolnshire","90","80","29260","28200"
"In post","2021","Eastern Scotland","AA/AO","Angus and Dundee City","1110","1010","21120","21010"
"In post","2021","Eastern Scotland","AA/AO","City of Edinburgh","3150","2980","22180","21480"
"In post","2021","Eastern Scotland","AA/AO","Clackmannanshire and Fife","470","430","22350","21010"
"In post","2021","Eastern Scotland","AA/AO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","AA/AO","Falkirk","870","740","21550","21010"
"In post","2021","Eastern Scotland","AA/AO","Perth and Kinross and Stirling","460","430","23480","22920"
"In post","2021","Eastern Scotland","AA/AO","West Lothian","180","170","22360","21010"
"In post","2021","Eastern Scotland","EO","Angus and Dundee City","490","450","27430","27570"
"In post","2021","Eastern Scotland","EO","City of Edinburgh","2630","2500","28470","28130"
"In post","2021","Eastern Scotland","EO","Clackmannanshire and Fife","550","510","29470","27570"
"In post","2021","Eastern Scotland","EO","East Lothian and Midlothian","80","70","27370","27570"
"In post","2021","Eastern Scotland","EO","Falkirk","690","620","29420","27570"
"In post","2021","Eastern Scotland","EO","Perth and Kinross and Stirling","570","530","30650","30160"
"In post","2021","Eastern Scotland","EO","West Lothian","180","160","28290","27570"
"In post","2021","Eastern Scotland","G6/G7","Angus and Dundee City","70","70","61750","61010"
"In post","2021","Eastern Scotland","G6/G7","City of Edinburgh","2290","2190","61730","61010"
"In post","2021","Eastern Scotland","G6/G7","Clackmannanshire and Fife","40","40","[c]","[c]"
"In post","2021","Eastern Scotland","G6/G7","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","G6/G7","Falkirk","50","40","[c]","[c]"
"In post","2021","Eastern Scotland","G6/G7","Perth and Kinross and Stirling","60","50","57830","55110"
"In post","2021","Eastern Scotland","G6/G7","West Lothian","50","50","65800","68820"
"In post","2021","Eastern Scotland","SCS","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SCS","City of Edinburgh","210","200","90920","83230"
"In post","2021","Eastern Scotland","SCS","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SCS","Falkirk","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SCS","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SEO/HEO","Angus and Dundee City","230","220","36870","34290"
"In post","2021","Eastern Scotland","SEO/HEO","City of Edinburgh","4520","4320","38400","37580"
"In post","2021","Eastern Scotland","SEO/HEO","Clackmannanshire and Fife","260","250","38090","37730"
"In post","2021","Eastern Scotland","SEO/HEO","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","SEO/HEO","Falkirk","210","190","37910","37770"
"In post","2021","Eastern Scotland","SEO/HEO","Perth and Kinross and Stirling","260","250","39080","39500"
"In post","2021","Eastern Scotland","SEO/HEO","West Lothian","90","90","38840","38630"
"In post","2021","Eastern Scotland","Unknown","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Eastern Scotland","Unknown","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2021","Essex","AA/AO","Essex Haven Gateway","320","300","25510","21580"
"In post","2021","Essex","AA/AO","Essex Thames Gateway","340","290","23460","24180"
"In post","2021","Essex","AA/AO","Heart of Essex","440","410","25280","24510"
"In post","2021","Essex","AA/AO","Southend-on-Sea","310","260","21420","21440"
"In post","2021","Essex","AA/AO","Thurrock","110","110","21740","21430"
"In post","2021","Essex","AA/AO","West Essex","90","80","20880","21430"
"In post","2021","Essex","EO","Essex Haven Gateway","510","480","29800","29290"
"In post","2021","Essex","EO","Essex Thames Gateway","410","370","29510","29290"
"In post","2021","Essex","EO","Heart of Essex","330","320","28970","29290"
"In post","2021","Essex","EO","Southend-on-Sea","390","350","27730","28130"
"In post","2021","Essex","EO","Thurrock","220","200","27350","27370"
"In post","2021","Essex","EO","West Essex","420","360","27950","27370"
"In post","2021","Essex","G6/G7","Essex Haven Gateway","40","40","[c]","[c]"
"In post","2021","Essex","G6/G7","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Essex","G6/G7","Heart of Essex","100","90","60740","59910"
"In post","2021","Essex","G6/G7","Southend-on-Sea","120","120","54570","52580"
"In post","2021","Essex","G6/G7","Thurrock","[c]","[c]","[c]","[c]"
"In post","2021","Essex","G6/G7","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SCS","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Essex","SEO/HEO","Essex Haven Gateway","230","220","41010","36730"
"In post","2021","Essex","SEO/HEO","Essex Thames Gateway","70","60","35980","35790"
"In post","2021","Essex","SEO/HEO","Heart of Essex","170","160","37640","36410"
"In post","2021","Essex","SEO/HEO","Southend-on-Sea","510","470","35610","35000"
"In post","2021","Essex","SEO/HEO","Thurrock","40","30","[c]","[c]"
"In post","2021","Essex","SEO/HEO","West Essex","130","120","33990","32930"
"In post","2021","Essex","Unknown","Essex Haven Gateway","30","30","[c]","[c]"
"In post","2021","Essex","Unknown","Essex Thames Gateway","110","100","26780","22920"
"In post","2021","Essex","Unknown","Heart of Essex","70","70","29170","30210"
"In post","2021","Essex","Unknown","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Essex","Unknown","West Essex","[c]","[c]","[c]","[c]"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Bath and North East Somerset, North Somerset and South Gloucestershire","760","700","23120","21130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Bristol, City of","1330","1220","21520","21010"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Gloucestershire","430","390","23040","21130"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Swindon","100","90","20080","19570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","Wiltshire","1250","1190","22080","20920"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Bath and North East Somerset, North Somerset and South Gloucestershire","2610","2480","24800","25750"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Bristol, City of","1430","1310","26650","27250"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Gloucestershire","540","480","27450","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Swindon","170","150","27230","27570"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","EO","Wiltshire","1240","1180","26730","26670"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Bath and North East Somerset, North Somerset and South Gloucestershire","1920","1870","57400","55220"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Bristol, City of","1430","1340","56600","53830"
"In post","2021","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","Gloucestershire","50","40","[c]","[c]"
