"Status","Year","Parent_department","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Ministry of Defence","East Riding of Yorkshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Riding of Yorkshire","30-39","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","East Riding of Yorkshire","40-49","90","90","27620","26670"
"In post","2022","Ministry of Defence","East Riding of Yorkshire","50-59","220","210","26840","26670"
"In post","2022","Ministry of Defence","East Riding of Yorkshire","60-64","100","90","27190","26930"
"In post","2022","Ministry of Defence","East Riding of Yorkshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Surrey","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Surrey","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Surrey","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Surrey","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Surrey","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Sussex CC","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Sussex CC","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Sussex CC","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Sussex CC","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","East Sussex CC","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Essex Haven Gateway","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Essex Haven Gateway","30-39","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Essex Haven Gateway","40-49","70","60","32570","27570"
"In post","2022","Ministry of Defence","Essex Haven Gateway","50-59","100","100","33360","31530"
"In post","2022","Ministry of Defence","Essex Haven Gateway","60-64","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Essex Haven Gateway","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Falkirk","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Falkirk","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Fermanagh and Omagh","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Fermanagh and Omagh","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Fermanagh and Omagh","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Fermanagh and Omagh","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Fermanagh and Omagh","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Fermanagh and Omagh","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","20-29","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","30-39","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","40-49","80","80","29710","28150"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","50-59","200","190","32480","30130"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","60-64","70","60","29580","29470"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Flintshire and Wrexham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Glasgow City","20-29","80","80","26840","26350"
"In post","2022","Ministry of Defence","Glasgow City","30-39","140","140","27370","25930"
"In post","2022","Ministry of Defence","Glasgow City","40-49","190","180","27750","26350"
"In post","2022","Ministry of Defence","Glasgow City","50-59","400","380","27720","22330"
"In post","2022","Ministry of Defence","Glasgow City","60-64","90","80","27080","21830"
"In post","2022","Ministry of Defence","Glasgow City","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gloucestershire CC","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gloucestershire CC","30-39","50","50","28870","26670"
"In post","2022","Ministry of Defence","Gloucestershire CC","40-49","70","70","34060","33000"
"In post","2022","Ministry of Defence","Gloucestershire CC","50-59","150","150","31140","28080"
"In post","2022","Ministry of Defence","Gloucestershire CC","60-64","50","40","[c]","[c]"
"In post","2022","Ministry of Defence","Gloucestershire CC","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester North East","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester North East","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester North East","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester North West","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester North West","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester North West","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester South East","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester South West","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester South West","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester South West","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester South West","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Greater Manchester South West","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gwent Valleys","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gwent Valleys","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gwent Valleys","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gwent Valleys","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gwynedd","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Gwynedd","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hackney and Newham","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hackney and Newham","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hackney and Newham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hackney and Newham","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hackney and Newham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Haringey and Islington","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Haringey and Islington","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Haringey and Islington","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Haringey and Islington","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Haringey and Islington","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Harrow and Hillingdon","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Harrow and Hillingdon","30-39","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Harrow and Hillingdon","40-49","50","50","31330","25890"
"In post","2022","Ministry of Defence","Harrow and Hillingdon","50-59","120","120","30160","26350"
"In post","2022","Ministry of Defence","Harrow and Hillingdon","60-64","60","60","28180","25890"
"In post","2022","Ministry of Defence","Harrow and Hillingdon","65+","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Hartlepool and Stockton-on-Tees","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hartlepool and Stockton-on-Tees","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hartlepool and Stockton-on-Tees","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Heart of Essex","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Heart of Essex","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Heart of Essex","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Herefordshire, County of","20-29","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Herefordshire, County of","30-39","50","50","[c]","[c]"
"In post","2022","Ministry of Defence","Herefordshire, County of","40-49","70","70","28470","26010"
"In post","2022","Ministry of Defence","Herefordshire, County of","50-59","130","130","28280","25000"
"In post","2022","Ministry of Defence","Herefordshire, County of","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Herefordshire, County of","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hertfordshire CC","20-29","80","80","36480","37000"
"In post","2022","Ministry of Defence","Hertfordshire CC","30-39","120","120","43480","44500"
"In post","2022","Ministry of Defence","Hertfordshire CC","40-49","100","100","44680","37640"
"In post","2022","Ministry of Defence","Hertfordshire CC","50-59","110","110","41620","37640"
"In post","2022","Ministry of Defence","Hertfordshire CC","60-64","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Hertfordshire CC","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Hounslow and Richmond upon Thames","20-29","70","70","30040","29250"
"In post","2022","Ministry of Defence","Hounslow and Richmond upon Thames","30-39","50","40","[c]","[c]"
"In post","2022","Ministry of Defence","Hounslow and Richmond upon Thames","40-49","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Hounslow and Richmond upon Thames","50-59","100","100","34530","31870"
"In post","2022","Ministry of Defence","Hounslow and Richmond upon Thames","60-64","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Hounslow and Richmond upon Thames","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverclyde, East Renfrewshire, and Renfrewshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverclyde, East Renfrewshire, and Renfrewshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverclyde, East Renfrewshire, and Renfrewshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverclyde, East Renfrewshire, and Renfrewshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","40-49","60","60","28040","21170"
"In post","2022","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","50-59","130","130","27060","21170"
"In post","2022","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","60-64","60","60","25080","21380"
"In post","2022","Ministry of Defence","Inverness and Nairn, Moray, and Badenoch and Strathspey","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Isle of Anglesey","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Isle of Anglesey","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Isle of Anglesey","50-59","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Isle of Anglesey","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Isle of Anglesey","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Isle of Wight","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kensington & Chelsea and Hammersmith & Fulham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kingston upon Hull, City of","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kingston upon Hull, City of","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kingston upon Hull, City of","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kingston upon Hull, City of","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Kingston upon Hull, City of","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lambeth","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lambeth","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lambeth","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lancaster and Wyre","20-29","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Lancaster and Wyre","30-39","70","70","25310","26670"
"In post","2022","Ministry of Defence","Lancaster and Wyre","40-49","90","80","31780","26670"
"In post","2022","Ministry of Defence","Lancaster and Wyre","50-59","180","170","30020","26670"
"In post","2022","Ministry of Defence","Lancaster and Wyre","60-64","40","30","[c]","[c]"
"In post","2022","Ministry of Defence","Lancaster and Wyre","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leeds","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leeds","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leeds","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leeds","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leeds","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicester","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicester","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicester","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","20-29","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","40-49","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","50-59","60","60","25700","23280"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Leicestershire CC and Rutland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lewisham and Southwark","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lewisham and Southwark","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lewisham and Southwark","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lewisham and Southwark","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lewisham and Southwark","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lewisham and Southwark","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lincolnshire CC","20-29","70","60","25200","26350"
"In post","2022","Ministry of Defence","Lincolnshire CC","30-39","120","120","28000","26160"
"In post","2022","Ministry of Defence","Lincolnshire CC","40-49","230","220","29100","26350"
"In post","2022","Ministry of Defence","Lincolnshire CC","50-59","480","470","29260","26350"
"In post","2022","Ministry of Defence","Lincolnshire CC","60-64","200","190","26340","21380"
"In post","2022","Ministry of Defence","Lincolnshire CC","65+","50","50","28310","22330"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","40-49","80","80","27050","22130"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","50-59","160","150","27940","22580"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","60-64","50","40","[c]","[c]"
"In post","2022","Ministry of Defence","Lisburn and Castlereagh","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Liverpool","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Liverpool","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Liverpool","40-49","60","60","26840","26350"
"In post","2022","Ministry of Defence","Liverpool","50-59","160","150","28450","26350"
"In post","2022","Ministry of Defence","Liverpool","60-64","50","50","26430","22330"
"In post","2022","Ministry of Defence","Liverpool","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Luton","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Manchester","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Manchester","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Manchester","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Manchester","50-59","50","40","[c]","[c]"
"In post","2022","Ministry of Defence","Manchester","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Manchester","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Medway","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Medway","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Medway","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Medway","50-59","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Medway","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Medway","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Merton, Kingston upon Thames and Sutton","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Merton, Kingston upon Thames and Sutton","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Merton, Kingston upon Thames and Sutton","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Merton, Kingston upon Thames and Sutton","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Kent","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Kent","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Kent","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Kent","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Kent","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Lancashire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Lancashire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Lancashire","40-49","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Lancashire","50-59","60","60","28790","26670"
"In post","2022","Ministry of Defence","Mid Lancashire","60-64","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Mid Lancashire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Milton Keynes","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Milton Keynes","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Milton Keynes","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Monmouthshire and Newport","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Monmouthshire and Newport","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Monmouthshire and Newport","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Monmouthshire and Newport","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Monmouthshire and Newport","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","50-59","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Newry, Mourne and Down","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North and North East Lincolnshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North and North East Lincolnshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North and North East Lincolnshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North and North East Lincolnshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North and West Norfolk","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North and West Norfolk","30-39","60","60","26360","21170"
"In post","2022","Ministry of Defence","North and West Norfolk","40-49","80","70","28410","24610"
"In post","2022","Ministry of Defence","North and West Norfolk","50-59","150","140","28440","25100"
"In post","2022","Ministry of Defence","North and West Norfolk","60-64","70","70","28250","25480"
"In post","2022","Ministry of Defence","North and West Norfolk","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Hampshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Hampshire","30-39","90","90","33210","33200"
"In post","2022","Ministry of Defence","North Hampshire","40-49","120","110","34980","33300"
"In post","2022","Ministry of Defence","North Hampshire","50-59","180","170","31250","26670"
"In post","2022","Ministry of Defence","North Hampshire","60-64","70","70","28990","26670"
"In post","2022","Ministry of Defence","North Hampshire","65+","30","30","[c]","[c]"
"In post","2022","Ministry of Defence","North Lanarkshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Lanarkshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Lanarkshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Nottinghamshire","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Nottinghamshire","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Nottinghamshire","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Nottinghamshire","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Nottinghamshire","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Nottinghamshire","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","North Yorkshire CC","20-29","70","70","26580","25680"
"In post","2022","Ministry of Defence","North Yorkshire CC","30-39","150","140","31160","28190"
"In post","2022","Ministry of Defence","North Yorkshire CC","40-49","260","250","31190","26670"
"In post","2022","Ministry of Defence","North Yorkshire CC","50-59","530","520","29980","26670"
"In post","2022","Ministry of Defence","North Yorkshire CC","60-64","180","170","26330","21380"
"In post","2022","Ministry of Defence","North Yorkshire CC","65+","50","40","26660","21070"
"In post","2022","Ministry of Defence","Northumberland","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Northumberland","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Northumberland","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Northumberland","50-59","50","50","[c]","[c]"
"In post","2022","Ministry of Defence","Northumberland","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Northumberland","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Norwich and East Norfolk","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Norwich and East Norfolk","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Norwich and East Norfolk","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Norwich and East Norfolk","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Nottingham","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Nottingham","50-59","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Nottingham","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Nottingham","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Orkney Islands","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Overseas","20-29","50","50","35030","33780"
"In post","2022","Ministry of Defence","Overseas","30-39","190","180","41520","40580"
"In post","2022","Ministry of Defence","Overseas","40-49","240","240","44060","41600"
"In post","2022","Ministry of Defence","Overseas","50-59","240","240","42480","40000"
"In post","2022","Ministry of Defence","Overseas","60-64","60","60","42260","40000"
"In post","2022","Ministry of Defence","Overseas","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Oxfordshire CC","16-19","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Oxfordshire CC","20-29","60","60","26990","26350"
"In post","2022","Ministry of Defence","Oxfordshire CC","30-39","150","140","30840","31530"
"In post","2022","Ministry of Defence","Oxfordshire CC","40-49","210","200","33410","33000"
"In post","2022","Ministry of Defence","Oxfordshire CC","50-59","360","350","32750","29200"
"In post","2022","Ministry of Defence","Oxfordshire CC","60-64","110","100","32280","29200"
"In post","2022","Ministry of Defence","Oxfordshire CC","65+","50","40","[c]","[c]"
"In post","2022","Ministry of Defence","Perth and Kinross, and Stirling","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Perth and Kinross, and Stirling","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Perth and Kinross, and Stirling","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Perth and Kinross, and Stirling","50-59","40","40","[c]","[c]"
"In post","2022","Ministry of Defence","Perth and Kinross, and Stirling","60-64","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Perth and Kinross, and Stirling","65+","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Peterborough","20-29","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Peterborough","30-39","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Peterborough","40-49","[c]","[c]","[c]","[c]"
"In post","2022","Ministry of Defence","Peterborough","50-59","60","60","25730","21330"
"In post","2022","Ministry of Defence","Peterborough","60-64","40","40","[c]","[c]"
